block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
56;sobel;sobel.c:64-65;60.48;338.07;338.07;338.07;338.07;0;1;
55;sobel;sobel.c:64-64;17.3;96.72;96.72;96.72;96.72;0;1;
66;sobel;sobel.c:91-93;3.55;19.86;19.86;19.86;19.86;0;1;
46;sobel;sobel.c:21-30;2.13;11.91;11.91;11.91;11.91;0;1;
53;sobel;sobel.c:63-63;1.41;7.87;7.87;7.87;7.87;0;1;
65;sobel;sobel.c:89-91;1.31;7.33;7.33;7.33;7.33;0;1;
52;sobel;sobel.c:60-63;1.22;6.81;6.81;6.81;6.81;0;1;
64;sobel;sobel.c:88-89;0.98;5.45;5.45;5.45;5.45;0;1;
63;sobel;sobel.c:88-88;0.95;5.31;5.31;5.31;5.31;0;1;
69;sobel;sobel.c:86-93;0.74;4.14;4.14;4.14;4.14;0;1;
54;sobel;sobel.c:64-64;0.73;4.07;4.07;4.07;4.07;0;1;
58;sobel;sobel.c:67-68;0.48;2.66;2.66;2.66;2.66;0;1;
67;sobel;sobel.c:93-93;0.25;1.39;1.39;1.39;1.39;0;1;
57;sobel;sobel.c:63-63;0.23;1.28;1.28;1.28;1.28;0;1;
62;sobel;sobel.c:86-86;0.2;1.14;1.14;1.14;1.14;0;1;
45;sobel;sobel.c:21-21;0.04;0.23;0.23;0.23;0.23;0;1;
68;sobel;sobel.c:93-93;0.01;0.03;0.03;0.03;0.03;0;1;
60;sobel;sobel.c:85-85;0;0;0;0;0;0;1;
59;sobel;sobel.c:72-85;0;0;0;0;0;0;1;
61;sobel;sobel.c:86-86;0;0;0;0;0;0;1;
131;sobel;common.c:12-15;0;0;0;0;0;0;1;
