block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
56;sobel;sobel.c:64-65;60.48;338.07;;;;;;
55;sobel;sobel.c:64-64;17.3;96.72;;;;;;
66;sobel;sobel.c:91-93;3.55;19.86;;;;;;
46;sobel;sobel.c:21-30;2.13;11.91;;;;;;
53;sobel;sobel.c:63-63;1.41;7.87;;;;;;
65;sobel;sobel.c:89-91;1.31;7.33;;;;;;
52;sobel;sobel.c:60-63;1.22;6.81;;;;;;
64;sobel;sobel.c:88-89;0.98;5.45;;;;;;
63;sobel;sobel.c:88-88;0.95;5.31;;;;;;
69;sobel;sobel.c:86-93;0.74;4.14;;;;;;
54;sobel;sobel.c:64-64;0.73;4.07;;;;;;
58;sobel;sobel.c:67-68;0.48;2.66;;;;;;
67;sobel;sobel.c:93-93;0.25;1.39;;;;;;
57;sobel;sobel.c:63-63;0.23;1.28;;;;;;
62;sobel;sobel.c:86-86;0.2;1.14;;;;;;
45;sobel;sobel.c:21-21;0.04;0.23;;;;;;
68;sobel;sobel.c:93-93;0.01;0.03;;;;;;
60;sobel;sobel.c:85-85;0;0;;;;;;
59;sobel;sobel.c:72-85;0;0;;;;;;
61;sobel;sobel.c:86-86;0;0;;;;;;
131;sobel;common.c:12-15;0;0;;;;;;
