block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
54;sobel;sobel.c:55-56;55.89;35.49;;;;;;
63;sobel;sobel.c:80-82;7.45;4.73;;;;;;
53;sobel;sobel.c:55-55;6.09;3.87;;;;;;
65;sobel;sobel.c:82-84;5.37;3.41;;;;;;
44;sobel;sobel.c:20-29;3.21;2.04;;;;;;
50;sobel;sobel.c:51-54;2.44;1.55;;;;;;
66;sobel;sobel.c:84-84;2.24;1.43;;;;;;
52;sobel;sobel.c:55-55;2.17;1.38;;;;;;
51;sobel;sobel.c:54-54;1.96;1.25;;;;;;
62;sobel;sobel.c:79-80;1.83;1.16;;;;;;
61;sobel;sobel.c:79-79;1.64;1.04;;;;;;
68;sobel;sobel.c:77-84;1.25;0.8;;;;;;
55;sobel;sobel.c:54-54;0.95;0.6;;;;;;
56;sobel;sobel.c:58-59;0.5;0.31;;;;;;
43;sobel;sobel.c:20-20;0.06;0.03;;;;;;
67;sobel;sobel.c:84-84;0.03;0.02;;;;;;
60;sobel;sobel.c:77-77;0.01;0;;;;;;
