block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
56;sobel;sobel.c:55-56;55.69;46.17;;;;;;;
65;sobel;sobel.c:80-82;8.71;7.22;;;;;;;
58;sobel;sobel.c:58-59;6.18;5.12;;;;;;;
66;sobel;sobel.c:82-84;5.18;4.29;;;;;;;
67;sobel;sobel.c:84-84;4.43;3.67;;;;;;;
46;sobel;sobel.c:20-29;4.17;3.46;;;;;;;
55;sobel;sobel.c:55-55;2.63;2.18;;;;;;;
69;sobel;sobel.c:77-84;1.25;1.03;;;;;;;
52;sobel;sobel.c:51-54;0.88;0.73;;;;;;;
63;sobel;sobel.c:79-79;0.84;0.7;;;;;;;
64;sobel;sobel.c:79-80;0.8;0.66;;;;;;;
54;sobel;sobel.c:55-55;0.76;0.63;;;;;;;
53;sobel;sobel.c:54-54;0.14;0.11;;;;;;;
45;sobel;sobel.c:20-20;0.05;0.04;;;;;;;
68;sobel;sobel.c:84-84;0.05;0.04;;;;;;;
62;sobel;sobel.c:77-77;0.02;0.01;;;;;;;
