function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
11;sobel;convolve_baseline;sobel.c:60-68;81.85;457.5;;;;;;"100,0,0,0,0,0,0,0,0,0";
12;sobel;sobel_baseline;sobel.c:72-95;7.99;44.66;;;;;;"100,0,0,0,0,0,0,0,0,0";
271;libm-2.31.so;__sqrt_finite;;4.85;27.09;;;;;;"0,0,0,100,0,0,0,0,0,0";
104;libm-2.31.so;sqrt;;2.23;12.45;;;;;;"0,0,0,100,0,0,0,0,0,0";
9;sobel;grayscale_weighted;sobel.c:18-32;2.17;12.14;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.8;4.45;;;;;;"0,0,0,2.002235800685,97.975267167847,0.02249703146837,0,0,0,0";
0;sobel;Unknown function;;0.12;0.68;;;;;;"100,0,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
496;libc-2.31.so;_IO_file_write;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
299;libc-2.31.so;swapcontext;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
498;libc-2.31.so;_IO_file_xsputn;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
317;libc-2.31.so;_IO_fprintf;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
14;sobel;sort;common.c:7-17;0;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
