block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;15.78;1.39;;;;;;
80;sobel;sobel.c:204-214;13.77;1.21;;;;;;
76;sobel;sobel.c:209-214;0.24;0.02;;;;;;
84;sobel;sobel.c:209-214;0.08;0.01;;;;;;
77;sobel;sobel.c:204-214;0.06;0;;;;;;
83;sobel;sobel.c:209-214;0.02;0;;;;;;
72;sobel;sobel.c:313-313,rdtsc.h:9-11;0.01;0;;;;;;
79;sobel;sobel.c:204-204;0.01;0;;;;;;
82;sobel;sobel.c:202-202;0.01;0;;;;;;
85;sobel;sobel.c:204-214;0.01;0;;;;;;
87;sobel;sobel.c:214-214;0.01;0;;;;;;
