Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;33.48;64.48;0;16575.09;0.63;0;0;0;0.01;6.04;0;1.4;
knl07;_ALL;_ALL;33.48;64.48;0;16575.09;0.63;0;0;0;0.01;6.04;0;1.4;
knl07;389634;_ALL;33.48;64.48;0;16575.09;0.63;0;0;0;0.01;6.04;0;1.4;
knl07;389634;389926;10.48;88.45;0;1507;1.06;0;0;0;0;1.51;0;0;
knl07;389634;389928;10.24;88.9;0;1504;0.86;0;0;0;0;1.5;0;0;
knl07;389634;389924;9.95;88.98;0;1507;1.06;0;0;0;0;1.51;0;0;
knl07;389634;389923;10.55;88.32;0;1507;1.13;0;0;0;0;1.51;0;0;
knl07;389634;389634;74.07;22.03;0;6036.11;0.07;0;0;0;0;6.04;0;3.83;
knl07;389634;389925;10.35;88.65;0;1507;0.93;0;0;0;0;1.51;0;0.07;
knl07;389634;389929;9.85;89.41;0;1502;0.67;0;0;0;0.07;1.5;0;0;
knl07;389634;389927;10.23;88.77;0;1505;1;0;0;0;0;1.5;0;0;
