function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;64.99;3.38;0.35;0.43;0.51;13.20617389679;32;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;32.36;1.68;0.05;0.22;4.73;13.787583351135;32;"0,0,0.029044975546914,0,96.834097665386,3.1368573590667,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;2.55;0.13;0.01;0.02;0.02;0.70201826095581;32;"0,0,100,0,0,0,0,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.05;0;0;0;0;0.27946463227272;5;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;0;0;0;0.087854668498039;4;"0,0,75,0,25,0,0,0,0,0";
505;libc-2.31.so;_IO_do_write;;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
369;libc-2.31.so;_IO_padn;;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
308;libc-2.31.so;vprintf;;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
306;libc-2.31.so;cuserid;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
113;libgomp.so.1.0.0;GOMP_critical_start;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
