Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;29.16;67.01;0;20595.1;2.75;0;0;0;0.01;4.83;0;1.06;
knl07;_ALL;_ALL;29.16;67.01;0;20595.1;2.75;0;0;0;0.01;4.83;0;1.06;
knl07;390248;_ALL;29.16;67.01;0;20595.1;2.75;0;0;0;0.01;4.83;0;1.06;
knl07;390248;390549;12.4;83.97;0;524;3.63;0;0;0;0;0.52;0;0;
knl07;390248;390553;15.84;80.53;0;524;3.63;0;0;0;0;0.52;0;0;
knl07;390248;390557;12.21;84.16;0;524;3.63;0;0;0;0;0.52;0;0;
knl07;390248;390561;12.67;83.96;0;505;3.37;0;0;0;0;0.5;0;0;
knl07;390248;390565;14.26;82.13;0;526;3.61;0;0;0;0;0.53;0;0;
knl07;390248;390537;9.5;85.51;0;421;4.99;0;0;0;0;0.42;0;0;
knl07;390248;390540;10.12;86.15;0;563;3.73;0;0;0;0;0.56;0;0;
knl07;390248;390544;8.29;87.05;0;386;4.66;0;0;0;0;0.39;0;0;
knl07;390248;390548;12.6;83.78;0;524;3.63;0;0;0;0;0.52;0;0;
knl07;390248;390552;12.7;84.13;0;504;3.17;0;0;0;0;0.5;0;0;
knl07;390248;390556;11.49;84.88;0;496;3.63;0;0;0;0;0.5;0;0;
knl07;390248;390560;12.1;84.52;0;504;3.37;0;0;0;0;0.5;0;0;
knl07;390248;390564;10.67;85.33;0;525;4;0;0;0;0;0.52;0;0;
knl07;390248;390539;10.69;84.56;0;421;4.75;0;0;0;0;0.42;0;0;
knl07;390248;390543;10.75;86.02;0;558;3.23;0;0;0;0;0.56;0;0;
knl07;390248;390547;11.52;85.45;0;495;3.03;0;0;0;0;0.49;0;0;
knl07;390248;390551;10.69;85.94;0;505;3.37;0;0;0;0;0.5;0;0;
knl07;390248;390555;12.79;83.59;0;524;3.44;0;0;0;0.19;0.52;0;0;
knl07;390248;390559;13.71;82.67;0;525;3.62;0;0;0;0;0.52;0;0;
knl07;390248;390563;10.92;85.63;0;522;3.45;0;0;0;0;0.52;0;0;
knl07;390248;390567;13.9;83.2;0;518;2.7;0;0;0;0.19;0.52;0;0;
knl07;390248;390538;9.98;85.27;0;421;4.75;0;0;0;0;0.42;0;0;
knl07;390248;390542;7.71;89.07;0;558;3.23;0;0;0;0;0.56;0;0;
knl07;390248;390546;11.26;85.11;0;524;3.63;0;0;0;0;0.52;0;0;
knl07;390248;390550;13.12;83.27;0;526;3.61;0;0;0;0;0.53;0;0;
knl07;390248;390554;10.91;85.71;0;504;3.37;0;0;0;0;0.5;0;0;
knl07;390248;390558;12.17;84.22;0;526;3.61;0;0;0;0;0.53;0;0;
knl07;390248;390562;13.29;83.33;0;504;3.37;0;0;0;0;0.5;0;0;
knl07;390248;390566;10.94;86.18;0;521;2.88;0;0;0;0;0.52;0;0;
knl07;390248;390248;85.57;9.71;0;4830.11;0.19;0;0;0;0;4.83;0;4.53;
knl07;390248;390541;14.01;83.69;0;564;2.3;0;0;0;0;0.56;0;0;
knl07;390248;390545;13.38;83.17;0;523;3.44;0;0;0;0;0.52;0;0;
