function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;54.22;14.56;10.64;10.67;10.69;32.484443664551;2;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;45.69;12.27;1.78;8.99;16.2;32.575115203857;2;"0,0,0,0,99.994436439999,0.0055635600005501,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.03;0.01;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0;0;0;0;0.00079370680032298;2;"0,0,33.333333333333,0,66.666666666667,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.01;0;0;0;0;0.0060596182011068;2;"0,0,0,0,0,0,100,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.01;0;0;0;0;0;1;"0,0,66.666666666667,0,0,0,0,0,33.333333333333,0";
369;libc-2.31.so;_IO_padn;;0.01;0;0;0;0;0.0030298091005534;2;"0,0,50,0,0,0,50,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.01;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
550;libc-2.31.so;__libc_alloca_cutoff;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
498;libc-2.31.so;_IO_file_xsputn;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
306;libc-2.31.so;cuserid;;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
299;libc-2.31.so;swapcontext;;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
113;libgomp.so.1.0.0;GOMP_critical_start;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
12;sobel;sort;common.c:7-17;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
12;ld-2.31.so;_dl_debug_state;;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
