function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
-1;kernel;unknown_kernel_region;;60.31;16.2;;;;;;"0,0,0,0,99.993825669968,0.0061743300322411,0,0,0,0";
8;sobel;main._omp_fn.0;sobel.c:21-334,rdtsc.h:9-11,stdio2.h:100-100;39.64;10.64;;;;;;"100,0,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.01;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
308;libc-2.31.so;vprintf;;0.01;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
255;libgomp.so.1.0.0;omp_test_nest_lock;;0.01;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
369;libc-2.31.so;_IO_padn;;0;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
306;libc-2.31.so;cuserid;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
299;libc-2.31.so;swapcontext;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
12;sobel;sort;common.c:7-17;0;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
12;ld-2.31.so;_dl_debug_state;;0;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
