block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;45.76;5.56;;;;;;
82;sobel;sobel.c:204-214;40.78;4.96;;;;;;
78;sobel;sobel.c:209-214;0.7;0.08;;;;;;
86;sobel;sobel.c:209-214;0.26;0.03;;;;;;
79;sobel;sobel.c:204-214;0.12;0.01;;;;;;
85;sobel;sobel.c:209-214;0.03;0;;;;;;
97;sobel;sobel.c:204-204;0.02;0;;;;;;
88;sobel;sobel.c:204-214;0.02;0;;;;;;
77;sobel;sobel.c:204-313;0.02;0;;;;;;
75;sobel;sobel.c:204-204;0.01;0;;;;;;
81;sobel;sobel.c:204-204;0.01;0;;;;;;
84;sobel;sobel.c:202-202;0.01;0;;;;;;
87;sobel;sobel.c:204-214;0.01;0;;;;;;
89;sobel;sobel.c:214-214;0.01;0;;;;;;
80;sobel;sobel.c:204-214;0.01;0;;;;;;
