block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
56;sobel;sobel.c:64-65;55.3;37.19;37.19;37.19;37.19;0;0;1;
65;sobel;sobel.c:89-91;8.48;5.7;5.7;5.7;5.7;0;0;1;
58;sobel;sobel.c:67-68;5.94;3.99;3.99;3.99;3.99;0;0;1;
66;sobel;sobel.c:91-93;4.74;3.19;3.19;3.19;3.19;0;0;1;
67;sobel;sobel.c:93-93;4.56;3.06;3.06;3.06;3.06;0;0;1;
46;sobel;sobel.c:21-30;4.12;2.77;2.77;2.77;2.77;0;0;1;
55;sobel;sobel.c:64-64;2.42;1.63;1.63;1.63;1.63;0;0;1;
69;sobel;sobel.c:86-93;1.15;0.77;0.77;0.77;0.77;0;0;1;
52;sobel;sobel.c:60-63;0.88;0.59;0.59;0.59;0.59;0;0;1;
63;sobel;sobel.c:88-88;0.87;0.59;0.59;0.59;0.59;0;0;1;
64;sobel;sobel.c:88-89;0.76;0.51;0.51;0.51;0.51;0;0;1;
54;sobel;sobel.c:64-64;0.66;0.44;0.44;0.44;0.44;0;0;1;
53;sobel;sobel.c:63-63;0.21;0.14;0.14;0.14;0.14;0;0;1;
45;sobel;sobel.c:21-21;0.06;0.04;0.04;0.04;0.04;0;0;1;
68;sobel;sobel.c:93-93;0.06;0.04;0.04;0.04;0.04;0;0;1;
62;sobel;sobel.c:86-86;0.05;0.03;0.03;0.03;0.03;0;0;1;
129;sobel;common.c:10-10;0;0;0;0;0;0;0;1;
