function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
11;sobel;convolve_baseline;sobel.c:60-68;65.41;43.99;43.99;43.99;43.99;0;0;1;"100,0,0,0,0,0,0,0,0,0";convolve_baseline;
12;sobel;sobel_baseline;sobel.c:72-95;20.66;13.9;13.9;13.9;13.9;0;0;1;"100,0,0,0,0,0,0,0,0,0";sobel_baseline;
277;libm.so.6;__sqrt_finite;;4.5;3.02;3.02;3.02;3.02;0;0;1;"0,0,0,100,0,0,0,0,0,0";__sqrt_finite;
9;sobel;grayscale_weighted;sobel.c:18-32;4.18;2.81;2.81;2.81;2.81;0;0;1;"100,0,0,0,0,0,0,0,0,0";grayscale_weighted;
103;libm.so.6;f32xsqrtf64;;3.66;2.46;2.46;2.46;2.46;0;0;1;"0,0,0,100,0,0,0,0,0,0";f32xsqrtf64;
-1;kernel;copy_user_generic_string;;0.37;0.25;0.25;0.25;0.25;0;0;1;"0,0,0,0,100,0,0,0,0,0";copy_user_generic_string;
-1;kernel;clear_page_rep;;0.14;0.09;0.09;0.09;0.09;0;0;1;"0,0,0,0,100,0,0,0,0,0";clear_page_rep;
-1;kernel;_raw_spin_unlock_irqrestore;;0.11;0.07;0.07;0.07;0.07;0;0;1;"0,0,0,2.7027025566051,89.18918977358,8.1081076698154,0,0,0,0";_raw_spin_unlock_irqrestore;
-1;kernel;_raw_spin_unlock_irq;;0.09;0.06;0.06;0.06;0.06;0;0;1;"0,0,0,0,59.322032519339,40.677967480661,0,0,0,0";_raw_spin_unlock_irq;
-1;kernel;crc32c_pcl_intel_update;;0.04;0.03;0.03;0.03;0.03;0;0;1;"0,0,0,0,100,0,0,0,0,0";crc32c_pcl_intel_update;
-1;kernel;free_unref_page_list;;0.03;0.02;0.02;0.02;0.02;0;0;1;"0,0,0,0,0,100,0,0,0,0";free_unref_page_list;
-1;kernel;rmqueue_pcplist.constprop.0;;0.03;0.02;0.02;0.02;0.02;0;0;1;"0,0,0,0,100,0,0,0,0,0";rmqueue_pcplist.constprop.0;
-1;kernel;__rcu_read_lock;;0.03;0.02;0.02;0.02;0.02;0;0;1;"0,0,0,0,94.444444444444,5.5555555555556,0,0,0,0";__rcu_read_lock;
-1;kernel;fault_in_readable;;0.02;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";fault_in_readable;
-1;kernel;kmem_cache_alloc;;0.02;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";kmem_cache_alloc;
-1;kernel;find_lock_entries;;0.02;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";find_lock_entries;
-1;kernel;ext4_fill_raw_inode;;0.02;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_fill_raw_inode;
-1;kernel;__filemap_add_folio;;0.02;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";__filemap_add_folio;
-1;kernel;__softirqentry_text_start;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,20,80,0,0,0,0,0";__softirqentry_text_start;
-1;kernel;ext4_da_map_blocks.constprop.0;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_da_map_blocks.constprop.0;
-1;kernel;block_invalidate_folio;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";block_invalidate_folio;
-1;kernel;__rcu_read_unlock;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,70,30,0,0,0,0";__rcu_read_unlock;
-1;kernel;ext4_invalidate_folio;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";ext4_invalidate_folio;
-1;kernel;drop_buffers.constprop.0;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";drop_buffers.constprop.0;
-1;kernel;crypto_shash_update;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";crypto_shash_update;
-1;kernel;ext4_dirty_inode;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_dirty_inode;
-1;kernel;ext4_da_write_begin;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_da_write_begin;
-1;kernel;memcg_slab_post_alloc_hook;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";memcg_slab_post_alloc_hook;
-1;kernel;mod_lruvec_page_state;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";mod_lruvec_page_state;
-1;kernel;folio_unlock;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,28.571428571429,71.428571428571,0,0,0,0";folio_unlock;
-1;kernel;_raw_spin_lock;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,83.333333333333,16.666666666667,0,0,0,0";_raw_spin_lock;
-1;kernel;_raw_read_lock;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";_raw_read_lock;
-1;kernel;__memset;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";__memset;
-1;kernel;__es_insert_extent;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";__es_insert_extent;
-1;kernel;charge_memcg;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";charge_memcg;
-1;kernel;kmem_cache_free;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";kmem_cache_free;
-1;kernel;get_page_from_freelist;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";get_page_from_freelist;
-1;kernel;balance_dirty_pages_ratelimited;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";balance_dirty_pages_ratelimited;
-1;kernel;filemap_get_read_batch;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";filemap_get_read_batch;
-1;kernel;copy_page_to_iter;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";copy_page_to_iter;
-1;kernel;alloc_buffer_head;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";alloc_buffer_head;
-1;kernel;get_obj_cgroup_from_current;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";get_obj_cgroup_from_current;
-1;kernel;try_charge_memcg;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";try_charge_memcg;
-1;kernel;folio_add_lru;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";folio_add_lru;
-1;kernel;generic_perform_write;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";generic_perform_write;
-1;kernel;percpu_counter_add_batch;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";percpu_counter_add_batch;
-1;kernel;copy_page_from_iter_atomic;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";copy_page_from_iter_atomic;
-1;kernel;jbd2__journal_start;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";jbd2__journal_start;
-1;kernel;ext4_fc_track_inode;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_fc_track_inode;
-1;kernel;ext4_da_write_end;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_da_write_end;
-1;kernel;ext4_mark_iloc_dirty;;0.01;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_mark_iloc_dirty;
