Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;31.58;66.87;0;6964.01;0.32;0;0;0;0.03;2.49;0;1.21;
vidal-NBLK-WAX9X;_ALL;_ALL;31.58;66.87;0;6964.01;0.32;0;0;0;0.03;2.49;0;1.21;
vidal-NBLK-WAX9X;9005;_ALL;31.58;66.87;0;6964.01;0.32;0;0;0;0.03;2.49;0;1.21;
vidal-NBLK-WAX9X;9005;9014;8.23;91.62;0;668;0.15;0;0;0;0;0.67;0;0;
vidal-NBLK-WAX9X;9005;9018;8.8;91.05;0;659;0.15;0;0;0;0;0.66;0;0;
vidal-NBLK-WAX9X;9005;9015;8.67;90.12;0;577;1.21;0;0;0;0;0.58;0;0;
vidal-NBLK-WAX9X;9005;9005;73.08;23.26;0;2489.01;0.24;0;0;0;0.04;2.49;0;3.37;
vidal-NBLK-WAX9X;9005;9017;8.27;91.43;0;665;0.15;0;0;0;0.15;0.66;0;0;
vidal-NBLK-WAX9X;9005;9020;8.53;91.3;0;563;0.18;0;0;0;0;0.56;0;0;
vidal-NBLK-WAX9X;9005;9019;9.1;90.75;0;670;0.15;0;0;0;0;0.67;0;0;
vidal-NBLK-WAX9X;9005;9016;7.88;91.53;0;673;0.59;0;0;0;0;0.67;0;0;
