function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
8;sobel;sobel_v3._omp_fn.0;sobel.c:201-215;54.73;1.61;0.43;0.88;1.04;18.429819107056;0.19761128723621;8;"100,0,0,0,0,0,0,0,0,0";sobel_v3._omp_fn.0;
269;libgomp.so.1.0.0;omp_get_num_procs;;27.09;0.8;0.18;0.44;0.49;9.9670038223267;0.10528857260942;8;"0,0,100,0,0,0,0,0,0,0";omp_get_num_procs;
1;sobel;main;stdio2.h:105-293,mm_malloc.h:45-54,rdtsc.h:9-11,sobel.c:21-401;8.83;0.26;1.14;1.14;1.14;0;0;1;"100,0,0,0,0,0,0,0,0,0";main;
-1;kernel;copy_user_generic_string;;2.09;0.06;0.27;0.27;0.27;0;0;1;"0,0,0,0,100,0,0,0,0,0";copy_user_generic_string;
-1;kernel;_raw_spin_unlock_irqrestore;;0.76;0.02;0;0.05;0.1;2.274959564209;0.067882210016251;2;"0,0,0,0,91.836734360674,8.1632656393263,0,0,0,0";_raw_spin_unlock_irqrestore;
-1;kernel;clear_page_rep;;0.61;0.02;0.08;0.08;0.08;0;0;1;"0,0,0,0,100,0,0,0,0,0";clear_page_rep;
-1;kernel;_raw_spin_unlock_irq;;0.5;0.01;0.06;0.06;0.06;0;0;1;"0,0,0,0,63.076923076923,36.923076923077,0,0,0,0";_raw_spin_unlock_irq;
-1;kernel;crc32c_pcl_intel_update;;0.28;0.01;0.04;0.04;0.04;0;0;1;"0,0,0,0,100,0,0,0,0,0";crc32c_pcl_intel_update;
-1;kernel;kmem_cache_alloc;;0.16;0;0.02;0.02;0.02;0;0;1;"0,0,0,0,100,0,0,0,0,0";kmem_cache_alloc;
-1;kernel;free_unref_page_list;;0.12;0;0.02;0.02;0.02;0;0;1;"0,0,0,0,6.25,93.75,0,0,0,0";free_unref_page_list;
-1;kernel;__rcu_read_lock;;0.12;0;0.02;0.02;0.02;0;0;1;"0,0,0,0,93.75,6.25,0,0,0,0";__rcu_read_lock;
-1;kernel;fault_in_readable;;0.12;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";fault_in_readable;
-1;kernel;ext4_fill_raw_inode;;0.11;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_fill_raw_inode;
-1;kernel;mod_lruvec_page_state;;0.1;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";mod_lruvec_page_state;
-1;kernel;find_lock_entries;;0.1;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";find_lock_entries;
-1;kernel;__memset;;0.09;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";__memset;
-1;kernel;rmqueue_pcplist.constprop.0;;0.09;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";rmqueue_pcplist.constprop.0;
-1;kernel;balance_dirty_pages_ratelimited;;0.09;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";balance_dirty_pages_ratelimited;
-1;kernel;ext4_invalidate_folio;;0.09;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";ext4_invalidate_folio;
-1;kernel;mpage_process_page;;0.08;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";mpage_process_page;
-1;kernel;mpage_process_page_bufs;;0.08;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";mpage_process_page_bufs;
-1;kernel;block_invalidate_folio;;0.08;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";block_invalidate_folio;
-1;kernel;ext4_da_map_blocks.constprop.0;;0.07;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_da_map_blocks.constprop.0;
-1;kernel;crypto_shash_update;;0.06;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";crypto_shash_update;
-1;kernel;__block_commit_write.constprop.0.isra.0;;0.06;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";__block_commit_write.constprop.0.isra.0;
-1;kernel;charge_memcg;;0.06;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";charge_memcg;
-1;kernel;get_page_from_freelist;;0.06;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";get_page_from_freelist;
-1;kernel;find_get_pages_range_tag;;0.06;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";find_get_pages_range_tag;
-1;kernel;__rcu_read_unlock;;0.06;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";__rcu_read_unlock;
-1;kernel;xas_load;;0.05;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";xas_load;
-1;kernel;percpu_counter_add_batch;;0.05;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";percpu_counter_add_batch;
-1;kernel;copy_page_to_iter;;0.05;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";copy_page_to_iter;
-1;kernel;ext4_bio_write_page;;0.05;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";ext4_bio_write_page;
