Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;8.47;63.57;0;12894.99;27.1;0;0;0.02;0.05;2.95;0;0.8;
vidal-NBLK-WAX9X;_ALL;_ALL;8.47;63.57;0;12894.99;27.1;0;0;0.02;0.05;2.95;0;0.8;
vidal-NBLK-WAX9X;7279;_ALL;8.47;63.57;0;12894.99;27.1;0;0;0.02;0.05;2.95;0;0.8;
vidal-NBLK-WAX9X;7279;7288;0;67.09;0;1434;32.91;0;0;0;0;1.43;0;0;
vidal-NBLK-WAX9X;7279;7290;0.07;68.31;0;1502;31.62;0;0;0;0;1.5;0;0;
vidal-NBLK-WAX9X;7279;7294;0.08;62.35;0;1304;37.58;0;0;0;0;1.3;0;0;
vidal-NBLK-WAX9X;7279;7289;0;63.8;0;1326;36.2;0;0;0;0;1.33;0;0;
vidal-NBLK-WAX9X;7279;7293;0;68.63;0;1511;31.37;0;0;0;0;1.51;0;0;
vidal-NBLK-WAX9X;7279;7279;36.81;53.36;0;2949.99;6.07;0;0;0.07;0.2;2.95;0;3.49;
vidal-NBLK-WAX9X;7279;7291;0.21;67.12;0;1411;32.67;0;0;0;0;1.41;0;0;
vidal-NBLK-WAX9X;7279;7292;0.07;68.09;0;1457;31.85;0;0;0;0;1.46;0;0;
