function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
8;sobel;main._omp_fn.0;stdio2.h:105-105,rdtsc.h:9-11,sobel.c:21-297;86.92;0.99;;;;;;;"100,0,0,0,0,0,0,0,0,0";main._omp_fn.0;
-1;kernel;clear_page_rep;;4.13;0.05;;;;;;;"0,0,0,0,100,0,0,0,0,0";clear_page_rep;
-1;kernel;do_user_addr_fault;;2.02;0.02;;;;;;;"0,0,0,0,100,0,0,0,0,0";do_user_addr_fault;
-1;kernel;rmqueue_pcplist.constprop.0;;1.23;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0";rmqueue_pcplist.constprop.0;
-1;kernel;_raw_spin_unlock_irqrestore;;0.44;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock_irqrestore;
-1;kernel;charge_memcg;;0.35;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";charge_memcg;
-1;kernel;vma_alloc_folio;;0.35;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";vma_alloc_folio;
-1;kernel;do_anonymous_page;;0.35;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";do_anonymous_page;
-1;kernel;handle_pte_fault;;0.26;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";handle_pte_fault;
-1;kernel;__rcu_read_unlock;;0.26;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__rcu_read_unlock;
-1;kernel;pud_val;;0.26;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";pud_val;
-1;kernel;_find_first_bit;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";_find_first_bit;
-1;kernel;blk_cgroup_congested;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";blk_cgroup_congested;
-1;kernel;__mem_cgroup_charge;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__mem_cgroup_charge;
-1;kernel;get_mem_cgroup_from_mm;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";get_mem_cgroup_from_mm;
-1;kernel;__folio_alloc;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__folio_alloc;
-1;kernel;get_page_from_freelist;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";get_page_from_freelist;
-1;kernel;rmqueue;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";rmqueue;
-1;kernel;should_fail_alloc_page;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";should_fail_alloc_page;
-1;kernel;count_memcg_events.constprop.0;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";count_memcg_events.constprop.0;
-1;kernel;__rcu_read_lock;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__rcu_read_lock;
-1;kernel;up_read;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";up_read;
-1;kernel;pmd_val;;0.18;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";pmd_val;
-1;kernel;_raw_spin_unlock;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";_raw_spin_unlock;
-1;kernel;__mod_memcg_lruvec_state;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__mod_memcg_lruvec_state;
-1;kernel;__alloc_pages;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__alloc_pages;
-1;kernel;page_add_new_anon_rmap;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";page_add_new_anon_rmap;
-1;kernel;add_mm_counter_fast;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";add_mm_counter_fast;
-1;kernel;__mod_node_page_state;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__mod_node_page_state;
-1;kernel;folio_add_lru;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";folio_add_lru;
-1;kernel;__pagevec_lru_add;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__pagevec_lru_add;
-1;kernel;down_read_trylock;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";down_read_trylock;
-1;kernel;load_balance;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";load_balance;
2239;libc.so.6;__nss_database_lookup;;0.09;0;;;;;;;"0,0,0,0,0,0,0,0,0,100";__nss_database_lookup;
-1;kernel;pfn_pte;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";pfn_pte;
-1;kernel;set_pte;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";set_pte;
312;libc.so.6;vprintf;;0.09;0;;;;;;;"0,0,0,0,0,0,100,0,0,0";vprintf;
303;libc.so.6;swapcontext;;0.09;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";swapcontext;
