Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;33.58;65.01;0;7196.98;0.11;0;0;0;0.01;2.56;0;1.28;
vidal-NBLK-WAX9X;_ALL;_ALL;33.58;65.01;0;7196.98;0.11;0;0;0;0.01;2.56;0;1.28;
vidal-NBLK-WAX9X;17585;_ALL;33.58;65.01;0;7196.98;0.11;0;0;0;0.01;2.56;0;1.28;
vidal-NBLK-WAX9X;17585;17585;76.31;20.05;0;2557.98;0.04;0;0;0;0;2.56;0;3.6;
vidal-NBLK-WAX9X;17585;17596;10.99;88.66;0;573;0.35;0;0;0;0;0.57;0;0;
vidal-NBLK-WAX9X;17585;17595;8.27;91.73;0;689;0;0;0;0;0;0.69;0;0;
vidal-NBLK-WAX9X;17585;17594;11.3;88.4;0;664;0.15;0;0;0;0.15;0.66;0;0;
vidal-NBLK-WAX9X;17585;17597;9.52;90.34;0;683;0.15;0;0;0;0;0.68;0;0;
vidal-NBLK-WAX9X;17585;17599;11.77;88.07;0;654;0.15;0;0;0;0;0.65;0;0;
vidal-NBLK-WAX9X;17585;17598;10.14;89.71;0;690;0.14;0;0;0;0;0.69;0;0;
vidal-NBLK-WAX9X;17585;17600;8.45;91.4;0;686;0.15;0;0;0;0;0.69;0;0;
